"id","name","type","parent_id"
"021007","Moura (São João Baptista)","3","0210"
"021403","Vidigueira","3","0214"
"070908","Vera Cruz","3","0709"
"021404","Vila de Frades","3","0214"
"150503","Melides","3","1505"
"070901","Alqueva","3","0709"
"020703","Vila Alva","3","0207"
"021001","Amareleja","3","0210"
"150502","Grândola","3","1505"
"070906","Santana","3","0709"
"020301","Alvito","3","0203"
"020302","Vila Nova da Baronia","3","0203"
"070801","Granja","3","0708"
"021002","Póvoa de São Miguel","3","0210"
"070904","Oriola","3","0709"
"150104","Torrão","3","1501"
"070905","Portel","3","0709"
"070802","Luz","3","0708"
"070907","São Bartolomeu do Outeiro","3","0709"
"071302","Viana do Alentejo","3","0713"
"070902","Amieira","3","0709"
"071101","Campo","3","0711"
"071105","Campinho","3","0711"
"071303","Aguiar","3","0713"
"070903","Monte do Trigo","3","0709"
"150103","Alcácer do Sal (Santiago)","3","1501"
"070803","Mourão","3","0708"
"150106","Comporta","3","1501"
"071301","Alcáçovas","3","0713"
"070511","São Vicente do Pigeiro","3","0705"
"150505","Carvalhal","3","1505"
"071103","Monsaraz","3","0711"
"071104","Reguengos de Monsaraz","3","0711"
"071102","Corval","3","0711"
"070513","Torre de Coelheiros","3","0705"
"151208","Sado","3","1512"
"070508","São Manços","3","0705"
"070504","Nossa Senhora da Tourega","3","0705"
"150102","Santa Susana","3","1501"
"151201","Setúbal (Nossa Senhora da Anunciada)","3","1512"
"150105","São Martinho","3","1501"
"071001","Montoito","3","0710"
"150101","Alcácer do Sal (Santa Maria do Castelo)","3","1501"
"151203","Setúbal (São Julião)","3","1512"
"151202","Setúbal (Santa Maria da Graça)","3","1512"
"151205","Setúbal (São Sebastião)","3","1512"
"070518","Horta das Figueiras","3","0705"
"070520","Sé e São Pedro","3","0705"
"070505","Évora (Santo Antão)","3","0705"
"151206","São Simão","3","1512"
"070507","Évora (São Mamede)","3","0705"
"151207","Gâmbia-Pontes-Alto da Guerra","3","1512"
"151103","Quinta do Conde","3","1511"
"070501","Nossa Senhora da Boa Fé","3","0705"
"070605","Santiago do Escoural","3","0706"
"070519","Malagueira","3","0705"
"151006","Fernão Ferro","3","1510"
"070104","Capelins (Santo António)","3","0701"
"150408","Coina","3","1504"
"070606","São Cristóvão","3","0706"
"150802","Palmela","3","1508"
"070503","Nossa Senhora de Machede","3","0705"
"070517","Bacelo","3","0705"
"070103","Santiago Maior","3","0701"
"070514","São Sebastião da Giesteira","3","0705"
"070516","Nossa Senhora de Guadalupe","3","0705"
"150403","Palhais","3","1504"
"150804","Quinta do Anjo","3","1508"
"151003","Arrentela","3","1510"
"150407","Santo António da Charneca","3","1504"
"151001","Aldeia de Paio Pires","3","1510"
"071202","Landeira","3","0712"
"070515","Canaviais","3","0705"
"070601","Cabrela","3","0706"
"150309","Charneca de Caparica","3","1503"
"150404","Santo André","3","1504"
"150606","Vale da Amoreira","3","1506"
"151004","Seixal","3","1510"
"151005","Corroios","3","1510"
"151002","Amora","3","1510"
"150405","Verderena","3","1504"
"070521","Senhora da Saúde","3","0705"
"150801","Marateca","3","1508"
"150406","Alto do Seixalinho","3","1504"
"150308","Sobreda","3","1503"
"150303","Costa da Caparica","3","1503"
